**TRAINING STARTED**
Read uni files, total data (1100, 64, 64, 1)
Split into 990 training and 110 validation samples
Starting training...
Epoch 2859/10000: cost 45.162926 , validation cost 853.248535 
Epoch 2869/10000: cost 47.635307 , validation cost 861.184937 
Epoch 2879/10000: cost 35.945488 , validation cost 845.577637 
Epoch 2889/10000: cost 45.620659 , validation cost 859.008362 
Epoch 2899/10000: cost 50.333046 , validation cost 855.605225 
Epoch 2909/10000: cost 41.602062 , validation cost 865.564209 
Epoch 2919/10000: cost 42.181633 , validation cost 865.468384 
Epoch 2929/10000: cost 47.628914 , validation cost 862.821289 
Epoch 2939/10000: cost 35.401070 , validation cost 868.299622 
Epoch 2949/10000: cost 47.801071 , validation cost 860.502502 
Epoch 2959/10000: cost 38.875851 , validation cost 861.131165 
Epoch 2969/10000: cost 33.511963 , validation cost 863.859192 
Epoch 2979/10000: cost 34.512077 , validation cost 859.031372 
Epoch 2989/10000: cost 38.471092 , validation cost 850.570984 
Epoch 2999/10000: cost 37.887360 , validation cost 852.019714 
Epoch 3009/10000: cost 43.378983 , validation cost 861.148010 
Epoch 3019/10000: cost 43.931271 , validation cost 862.377319 
Epoch 3029/10000: cost 56.005989 , validation cost 844.420715 
Epoch 3039/10000: cost 35.479275 , validation cost 840.420959 
Epoch 3049/10000: cost 36.576363 , validation cost 858.625549 
Epoch 3059/10000: cost 29.919832 , validation cost 846.823914 
Epoch 3069/10000: cost 41.523880 , validation cost 844.351257 
Epoch 3079/10000: cost 42.807487 , validation cost 848.638062 
Epoch 3089/10000: cost 42.737999 , validation cost 847.508301 
Epoch 3099/10000: cost 31.686069 , validation cost 857.471497 
Epoch 3109/10000: cost 46.494598 , validation cost 858.103271 
Epoch 3119/10000: cost 44.709671 , validation cost 857.033508 
Epoch 3129/10000: cost 37.066643 , validation cost 852.326416 
Epoch 3139/10000: cost 45.961899 , validation cost 853.836853 
Epoch 3149/10000: cost 29.442301 , validation cost 853.965820 
Epoch 3159/10000: cost 40.570148 , validation cost 849.058044 
Epoch 3169/10000: cost 32.317924 , validation cost 850.578125 
Epoch 3179/10000: cost 40.496590 , validation cost 847.262390 
Epoch 3189/10000: cost 37.963097 , validation cost 852.502808 
Epoch 3199/10000: cost 42.567200 , validation cost 844.069336 
Epoch 3209/10000: cost 41.367256 , validation cost 840.063110 
Epoch 3219/10000: cost 32.751171 , validation cost 847.115295 
Epoch 3229/10000: cost 30.484062 , validation cost 837.814331 
Epoch 3239/10000: cost 42.919563 , validation cost 847.243652 
Epoch 3249/10000: cost 51.678989 , validation cost 847.790100 
Epoch 3259/10000: cost 46.793396 , validation cost 854.360046 
Epoch 3269/10000: cost 35.867996 , validation cost 851.944824 
Epoch 3279/10000: cost 47.674500 , validation cost 844.011536 
Epoch 3289/10000: cost 54.777344 , validation cost 846.187988 
Epoch 3299/10000: cost 53.684769 , validation cost 851.971436 
Epoch 3309/10000: cost 42.041100 , validation cost 855.108582 
Epoch 3319/10000: cost 37.182068 , validation cost 865.406433 
Epoch 3329/10000: cost 44.660820 , validation cost 849.889954 
Epoch 3339/10000: cost 32.051277 , validation cost 854.690430 
Epoch 3349/10000: cost 35.017448 , validation cost 848.558838 
Epoch 3359/10000: cost 45.444824 , validation cost 848.014099 
Epoch 3369/10000: cost 43.403839 , validation cost 845.419434 
Epoch 3379/10000: cost 38.191555 , validation cost 847.949951 
Epoch 3389/10000: cost 36.925682 , validation cost 846.250061 
Epoch 3399/10000: cost 45.100166 , validation cost 849.455322 
Epoch 3409/10000: cost 37.932064 , validation cost 847.141113 
Epoch 3419/10000: cost 45.917183 , validation cost 852.242737 
Epoch 3429/10000: cost 45.449764 , validation cost 834.936890 
Epoch 3439/10000: cost 39.264542 , validation cost 846.149170 
Epoch 3449/10000: cost 47.891167 , validation cost 851.996948 
Epoch 3459/10000: cost 35.231216 , validation cost 847.983948 
Epoch 3469/10000: cost 40.787514 , validation cost 845.865173 
Epoch 3479/10000: cost 56.842453 , validation cost 849.300110 
Epoch 3489/10000: cost 49.140133 , validation cost 850.946533 
Epoch 3499/10000: cost 39.438316 , validation cost 858.005920 
Epoch 3509/10000: cost 33.163376 , validation cost 845.304749 
Epoch 3519/10000: cost 44.439419 , validation cost 852.682983 
Epoch 3529/10000: cost 47.768616 , validation cost 853.308838 
Epoch 3539/10000: cost 36.530586 , validation cost 857.651550 
Epoch 3549/10000: cost 41.811043 , validation cost 851.647522 
Epoch 3559/10000: cost 44.181274 , validation cost 849.318054 
Epoch 3569/10000: cost 37.384270 , validation cost 843.182922 
Epoch 3579/10000: cost 29.144474 , validation cost 851.503418 
Epoch 3589/10000: cost 47.419178 , validation cost 850.571228 
Epoch 3599/10000: cost 45.198441 , validation cost 846.261841 
Epoch 3609/10000: cost 53.810135 , validation cost 844.806030 
Epoch 3619/10000: cost 45.626591 , validation cost 844.947205 
Epoch 3629/10000: cost 46.601479 , validation cost 837.999634 
Epoch 3639/10000: cost 36.974197 , validation cost 842.324097 
Epoch 3649/10000: cost 54.668354 , validation cost 855.680542 
Epoch 3659/10000: cost 33.113277 , validation cost 847.623596 
Epoch 3669/10000: cost 41.621540 , validation cost 847.076294 
Epoch 3679/10000: cost 37.873272 , validation cost 849.144226 
Epoch 3689/10000: cost 51.246918 , validation cost 853.281189 
Epoch 3699/10000: cost 36.740231 , validation cost 848.278870 
Epoch 3709/10000: cost 55.790470 , validation cost 852.834961 
Epoch 3719/10000: cost 51.793076 , validation cost 848.612854 
Epoch 3729/10000: cost 45.674126 , validation cost 847.427734 
Epoch 3739/10000: cost 30.535969 , validation cost 851.227783 
Epoch 3749/10000: cost 55.136688 , validation cost 839.772034 
Epoch 3759/10000: cost 36.972607 , validation cost 841.458313 
Epoch 3769/10000: cost 42.282906 , validation cost 853.092224 
Epoch 3779/10000: cost 45.132568 , validation cost 850.392212 
Epoch 3789/10000: cost 38.555496 , validation cost 849.681030 
Epoch 3799/10000: cost 45.351307 , validation cost 852.414246 
Epoch 3809/10000: cost 41.760872 , validation cost 842.515137 
Epoch 3819/10000: cost 57.336170 , validation cost 851.309692 
Epoch 3829/10000: cost 39.800816 , validation cost 843.214539 
Epoch 3839/10000: cost 40.294975 , validation cost 834.076294 
Epoch 3849/10000: cost 35.580170 , validation cost 839.092407 
Epoch 3859/10000: cost 39.899307 , validation cost 833.185913 
Epoch 3869/10000: cost 41.196358 , validation cost 845.097656 
Epoch 3879/10000: cost 31.432384 , validation cost 843.230042 
Epoch 3889/10000: cost 29.983240 , validation cost 841.164795 
Epoch 3899/10000: cost 54.921646 , validation cost 842.985718 
Epoch 3909/10000: cost 51.250572 , validation cost 839.057556 
Epoch 3919/10000: cost 42.584682 , validation cost 841.921692 
Epoch 3929/10000: cost 44.170303 , validation cost 844.200073 
Epoch 3939/10000: cost 64.197113 , validation cost 837.831665 
Epoch 3949/10000: cost 36.819874 , validation cost 846.807861 
Epoch 3959/10000: cost 46.012810 , validation cost 846.876831 
Epoch 3969/10000: cost 45.370316 , validation cost 852.603638 
Epoch 3979/10000: cost 39.676094 , validation cost 838.048950 
Epoch 3989/10000: cost 29.659300 , validation cost 842.298035 
Epoch 3999/10000: cost 42.472633 , validation cost 841.292236 
Epoch 4009/10000: cost 36.417091 , validation cost 839.215576 
Epoch 4019/10000: cost 49.348412 , validation cost 849.696167 
Epoch 4029/10000: cost 31.472477 , validation cost 846.724121 
Epoch 4039/10000: cost 31.799938 , validation cost 841.962769 
Epoch 4049/10000: cost 39.584251 , validation cost 838.504944 
Epoch 4059/10000: cost 41.284904 , validation cost 841.960571 
Epoch 4069/10000: cost 42.876518 , validation cost 840.905640 
Epoch 4079/10000: cost 53.851868 , validation cost 838.065430 
Epoch 4089/10000: cost 34.704475 , validation cost 847.033264 
Epoch 4099/10000: cost 42.921326 , validation cost 847.425476 
Epoch 4109/10000: cost 36.757580 , validation cost 839.393311 
Epoch 4119/10000: cost 57.813614 , validation cost 846.016541 
Epoch 4129/10000: cost 48.127514 , validation cost 843.093445 
Epoch 4139/10000: cost 41.534370 , validation cost 840.307617 
Epoch 4149/10000: cost 36.423756 , validation cost 840.872009 
Epoch 4159/10000: cost 29.704666 , validation cost 839.679138 
Epoch 4169/10000: cost 44.529819 , validation cost 836.358704 
Epoch 4179/10000: cost 47.886864 , validation cost 839.687378 
Epoch 4189/10000: cost 30.334784 , validation cost 846.372742 
Epoch 4199/10000: cost 44.231621 , validation cost 841.691895 
Epoch 4209/10000: cost 39.745255 , validation cost 843.976196 
Epoch 4219/10000: cost 36.846405 , validation cost 839.414429 
Epoch 4229/10000: cost 36.083904 , validation cost 842.725952 
Epoch 4239/10000: cost 51.025379 , validation cost 839.812988 
Epoch 4249/10000: cost 47.720276 , validation cost 846.322205 
Epoch 4259/10000: cost 41.106415 , validation cost 845.597290 
Epoch 4269/10000: cost 37.273441 , validation cost 846.119934 
Epoch 4279/10000: cost 39.916996 , validation cost 848.014221 
Epoch 4289/10000: cost 52.834591 , validation cost 850.425171 
Epoch 4299/10000: cost 31.232821 , validation cost 840.786804 
Epoch 4309/10000: cost 44.039150 , validation cost 843.306519 
Epoch 4319/10000: cost 41.982689 , validation cost 841.939270 
Epoch 4329/10000: cost 42.569622 , validation cost 850.635315 
Epoch 4339/10000: cost 48.397129 , validation cost 845.262573 
Epoch 4349/10000: cost 42.526726 , validation cost 843.704773 
Epoch 4359/10000: cost 48.955246 , validation cost 852.344971 
Epoch 4369/10000: cost 49.363846 , validation cost 845.092041 
Epoch 4379/10000: cost 47.647842 , validation cost 843.697998 
Epoch 4389/10000: cost 43.348228 , validation cost 849.464478 
Epoch 4399/10000: cost 34.460823 , validation cost 846.568787 
Epoch 4409/10000: cost 37.162636 , validation cost 848.038330 
Epoch 4419/10000: cost 40.819427 , validation cost 838.124451 
Epoch 4429/10000: cost 38.043648 , validation cost 837.329895 
Epoch 4439/10000: cost 34.022232 , validation cost 836.716064 
Epoch 4449/10000: cost 48.139046 , validation cost 841.620544 
